BET		BETA - Brazilian Express Transportes Aereos
BEZ		Kingfisher Air Services
BFA		Presidence Du Faso
BFC		Basler Flight Service
BFF		Air Baffin
BFG		Bear Flight
BFL	J0	Buffalo Airways
BFN		Compangnie Nationale Naganagani
BFO		Bombardier
BFR		Burkina Airlines
BFS		Business Flight Sweden
BFW		Bahrain Defence Force
BGA		Airbus Transport International
BGD	B9	Air Bangladesh
BGF		Aviodetachment-28
BGG		Aero BG
BGH		BH Air
BGI		British Gulf International
BGK		British Gulf International-Fez
BGM		Bugulma Air Enterprise
BGR		Budget Air Bangladesh
BGT		Bergen Air Transport
BHA		Buddha Air
BHC		Aerotaxis De La Bahia
BHI		Balkh Airlines
BHL		Bristow Helicopters
BHN		Bristow Helicopters Nigeria
BHO		Bhoja Airlines
BHP	4T	Belair Airlines
BHR		Bighorn Airways
BHS	UP	Bahamasair
BHT		Bright Air
BHV		Specavia Air Company
BHY		Bosphorus European Airways
BIB		Michelin Air Services
BID		Binair
BIE	DR	Air Méditerranée
BIG		Big Island Air
BIH	BS	British International Helicopters
BIL		Billund Air Center
BIN		Boise Interagency Fire Center
BIR		Bird Leasing
BIS		Irbis Air
BIV		Aviaservice
BIZ		Bizjet Ltd
BJA		Baja Air
BJC		Baltic Jet Aircompany
BJK		Atlantic Airlines
BJS		Business Jet Solutions
BJT		ACM Aviation
BKA	B4	Bankair
BKF		BF-Lento OY
BKH		RAF Barkston Heath
BKJ		Barken International
BKL		Aircompany Barcol
BKP	PG	Bangkok Airways
BKR		Civil Air Patrol South Carolina Wing
BKV	BQ	Bukovyna Airlines
BLA		All Charter Limited
BLB		Blue Bird Aviation
BLC		Bellesavia
BLE		Blue Line
BLF	KF	Blue1
BLG		Belgavia
BLH		Blue Horizon Travel Club
BLI		Thyssen Krupp AG
BLJ		Blue Jet
BLK		Westcoast Energy
BLL		Baltic Airlines
BLM		Blue Airways
BLN		Bali International Air Service
BLR		Atlantic Coast Airlines
BLS	JV	Bearskin Lake Air Service
BLT		Baltic Aviation
BLU		IMP Aviation Services
BLV	B3	Bellview Airlines
BLW		Wermlandsflyg AB
BLX	6B	TUI fly Nordic
BLY		Starair
BLZ		Aero Barloz
BMD		British Medical Charter
BME		Briggs Marine Environmental Services
BMH		Bristow Masayu Helicopters
BMJ	CH	Bemidji Airlines
BMK		GST Aero Aircompany
BML	5Z	Bismillah Airlines
BMM	8A	Atlas Blue
BMN		Bowman Aviation
BMR	BM	bmi regional
BMS	0B	Blue Air
BMV		Alatau Airlines
BMW		BMW
BMX		Banco de Mexico
BNB		Aero Banobras
BNC		Sundance Air
BND		Bond Offshore Helicopters
BNE		Benina Air
BNF	BN	Braniff International Airways
BNG		BN Group Limited
BNI		Alberni Airways
BNL		Blue Nile Ethiopia Trading
BNR		Bonair Aviation
BNS		Bancstar - Valley National Corporation
BNT		Bentiu Air Transport
BNV		Benane Aviation Corporation
BNW		British North West Airlines
BNX		LAI - Linea Aerea IAACA
BNZ		Aerolineas Bonanza
BOA		Boniair
BOC		Aerobona
BOD		Bond Air Services
BOE		Boeing
BOF		Bordaire
BOI		Aboitiz Air
BOL		Transportes Aereos Bolivianos
BOO		Bookajet Limited
BOS		OpenSkies
BOT	BP	Air Botswana
BOU	BO	Bouraq Indonesia Airlines
BOX		Tiphook PLC
BPA	BV	Blue Panorama Airlines
BPK		Berkhut ZK
BPO		Bundepolizei-Fliegertruppe
BPS		Manx2
BPT		Bonus Aviation
BPX		British Petroleum Exploration
BRB	7R	BRA-Transportes Aereos
BRD		Brock Air Services
BRE		Breeze Ltd
BRF		Air Bravo
BRG	8E	Bering Air
BRK		Briansk State Air Enterprise
BRM		Air 500
BRN		Branson Airlines
BRO		BASE Regional Airlines
BRP		Airport Bratsk
BRQ	UZ	El-Buraq Air Transport
BRR		Mountain Air Service
BRS		Brazilian Air Force
BRT		British Regional Airlines
BRU	B2	Belavia Belarusian Airlines
BRW		Bright Aviation Services
BRX		Buffalo Express Airlines
BRY		Burundayavia
BRZ	E5	Samara Airlines
BSB		Air Wings
BSC		Bistair - Fez
BSD		Blue Star Airlines
BSI		Brasair Transportes Aereos
BSJ		Blue Swann Aviation
BSK	GL	Miami Air International
BSM		Blue Sky Aviation
BSN		Connectair Charters
BSP		Global Airways (BSP)
BSR	G6	Guine Bissaur Airlines
BSS		Bissau Aero Transporte
BST		Best Air
BSW		Blue Sky Airways
BSY	GQ	Big Sky Airlines
BTA		ExpressJet
BTC	V9	BAL Bashkirian Airlines
BTH		Baltijas Helicopters
BTI	BT	airBaltic
BTK		Baltyka
BTL		Baltia Air Lines
BTP		Veritair Ltd
BTR		Botir-Avia
BTS		Aerotaxis Albatros
BTT		BT-Slavuta
BTU		Rolls-Royce plc
BTV	7P	Metro Batavia
BUB	ZB	Air Bourbon
BUC		Bulgarian Air Charter
BUE		Orebro Aviation
BUG		Mokulele Airlines
BUL		Blue Airlines
BUN		Buryat Airlines Aircompany
BUZ		Buzz Stansted
BVA		Buffalo Airways
BVC		Bulgarian Aeronautical Centre
BVN		Baron Aviation Services
BVR		ACM Air Charter
BVT	J8	Berjaya Air
BVU		Bellview Airlines, Sierra Leone
BVV		Spark+ Joint-Stock Company
BWA	BW	Caribbean Airlines
BWG	QW	Blue Wings
BWI		Blue Wing Airlines
BWL		BWA (2002) Ltd
BWY		Fleet Requirements Air Direction Unit
BXA		Bahrain Executive Air Services
BXH		Bar XH Air
BXI		Brussels International Airlines
BXR		Redding Aero Enterprises
BYA		Berry Aviation
BYC		Northern Airlines Sanya
BYL		Bylina Joint-Stock Company
BYR		Berytos Airlines
BYT		Patriot Aviation Limited
BZA		Bizair Fluggesellschaft
BZD		Canadian Global Air Ambulance
BZF		Jet Aviation Business Jets
BZH	DB	Brit Air
BZS		Aero Biniza
BZZ		Butane Buzzard Aviation Corporation
CAA		Atlantic Southeast Airlines
CAB		Chesapeake Air Service
CAC		Conquest Airlines
CAD		Chilliwack Aviation
CAE		Colibri Aviation
CAG		China National Aviation Corporation
CAH		Charlan Air Charter
CAI	XC	Corendon Airlines
CAJ		Air Caraibes Atlantique
CAK		Congo Air
CAL	CI	China Airlines
CAM	R9	Camai Air
CAN		Crest Aviation
CAO		Air China Cargo
CAQ		Cityair (Chester) Limited
CAR		Inter RCA
CAS		Christman Air System
CAT		Copenhagen Airtaxi
CAV	MO	Calm Air
